he_test ['העומד' 'שפסלו' 'האקס']
העומד (HVMD):	haomed	['haomed', 'homed']
י״בררו (Y_VRRV):	barro	['ybarru']
על־שמעי (L_SMY):	al-shimi	['al-shimi']
פלופונסוס (FLVFVNSVS):	plofonsos	['pelofonsos']
להוראת (LHVRT):	lhoraat	['lhoraat']
שתשמר (STSMR):	shetishmar	['shetishmor', 'stsamer']
ותהמה (VTHMH):	vthamh	['vateheme']
עתק (TQ):	atk	['atak', 'utak', 'otek', 'itek', 'otk', 'atek', 'etek']
יהנדס (YHNDS):	yhandas	['yahndes']
בהלתו (VHLTV):	bhalato	['behalato']
טרקישע (TRQYS):	tarkisa	['terkyse']
דחיתם (DCHYTM):	dkhitam	['dakhitm']
טפשאי (TFSY):	tafshai	['tipshae', 'tipshai']
שדכנות (SDCHNVT):	shedkanot	['shadkanut']
נורדוי (NVRDVY):	nordoi	['nordoi']
גרררר (GRRRR):	gerrr	['grrrr']
ויאספם (VYSFM):	vayaasfem	['vayaaspem']
ותותר (VTVTR):	vtoter	['vatotar']
אלהך (LHCH):	elahakh	['lohkh', 'elohekh', 'elhakh', 'olaakh', 'elahakh']
ומעילים (VMYLYM):	vmeilim	['vmilim']
לומדי (LVMDY):	lomdi	['lomde']
ל״לדה (L_LDH):	lladh	['lledh']
אנגאיירו (NGYYRV):	angayyro	['ngiyro']
תניחו (TNYCHV):	tniaku	['tanikhu']
הבזיליקה (HVZYLYQH):	hbazilika	['habazilikh']
טעמתו (TMTV):	taamto	['tamto']
יברוחי (YVRVCHY):	yvarukhi	['yavruake']
וקלא (VQL):	vkala	['vkula', 'vkala']
ושרעב (VSRV):	vsaraav	['vsharavh']
תקנתו (TQNTV):	tikanto	['takaanato']
בפחזותיכו (VFCHZVTYCHV):	bpakhazoteku	['bpakhazutayku']
זאדרוזת (ZDRVZT):	zadruzat	['zadruzat']
שהרבים (SHRVYM):	sheharabim	['sheharabim']
הטרו (HTRV):	htro	['htro']
מפיקים (MFYQYM):	mfikim	['mapikim', 'mfikim']
מלנהם (MLNHM):	milinham	['milinhom']
סימנייהו (SYMNYYHV):	simanayyhu	['simanayyhu']
אבי־ישי (VY_YSY):	avi-yishay	['avi-yishay']
ששפשף (SSFSF):	sheshafshef	['sheshifshef']
תרמוס (TRMVS):	termos	['tirmus', 'termos', 'turmos']
מד׳הב (MDHHV):	madhav	['mathehav']
קלייר (QLYYR):	klayyr	['kleyr']
שמנדדין (SMNDDYN):	shemnaddin	['shemnaddin']
ואתנהי (VTNHY):	vitnohi	['vitnae']
ואתעבידא (VTVYD):	vitavida	['vitavida', 'vitabeyda']
וישמענו (VYSMNV):	vyishmanu	['vyashmienu']
בוזגלו (VVZGLV):	bozglu	['bozgalo', 'buzaglo']
הר־עיבל (HR_YVL):	har-eyvel	['har-eyval']
בילבאו (VYLVV):	byalbo	['bilbau', 'bilbao']
ה׳איר (H_YR):	hayar	['hir']
ופרושן (VFRVSN):	uferushan	['uferushan']
צלמנע (TZLMN):	tsalmna	['tsalmuna']
דיזכי (DYZCHY):	dizki	['dyizke']
לסבלה (LSVLH):	lsabla	['lsavlah']
אשר־עמד (SR_MD):	asher-amad	['asher-amad']
ל׳עד (L_D):	lad	['lad']
אל־צדקיהו (L_TZDQYHV):	el-tsidkiyahu	['el-tsidkiyahu']
התגלגלו (HTGLGLV):	hitgalglu	['hitgalgalu', 'hitgalglu']
תשכחיני (TSCHCHYNY):	tishkkhini	['tishkkhini']
וראויות (VRVYVT):	vravyot	['vruyot']
משתנין (MSTNYN):	mishhtanin	['mishhtanin', 'mishhtanyan']
ואסתכיאו (VSTCHYV):	vistkiu	['vistkiu']
ורוקדים (VRVQDYM):	vrokdim	['vrokdim']
ומרמ (VMRM):	vmrm	['vmeramh']
והעפיפה (VHFYFH):	vhaafipa	['vhaafipa']
דנחיריה (DNCHYRYH):	dinkhireh	['dinkhireh']
יענישהו (YNYSHV):	yaanishehu	['yaanishehu']
דנכבוש (DNCHVVS):	dnikbush	['dnikbos']
שאפוטרופוס (SFVTRVFVS):	sapotropos	['sheapotropos', 'sheapotropus']
ושנהרגו (VSNHRGV):	vshenhargu	['vshenehergu']
מצאתי (MTZTY):	matsati	['metsaati', 'matsaati', 'matsati']
וספרת (VSFRT):	vsafrat	['vsafarth']
ובכה (VVCHH):	vvke	['uvka', 'vbako', 'uvako', 'vbak', 'vvko', 'uvakha', 'vvakha', 'vvoke', 'uvekhe']
המקרות (HMQRVT):	hamkorot	['hamikrot']
חתניו (CHTNYV):	khatnav	['khatanav']
פלחים (FLCHYM):	palkhim	['plakim', 'plakhim', 'palakhim', 'palakim']
וכשהדבור (VCHSHDVVR):	vkshehadabur	['vkshehadibur']
האפויות (HFVYVT):	haafuyot	['haafuyot']
ממללו (MMLLV):	mimallo	['mmallu']
אכתיבה (CHTYVH):	aktiva	['aktiva']
כזהירו (CHZHYRV):	kizhiru	['kizhiru']
טאק (TQ):	tak	['tak']
הלולאלרבי (HLVLLRVY):	hlulelrabi	['hilulalrabi']
ויב֕רך (VYV_RCH):	vayabi֕rekh	['vayva֕rekh']
וממשן (VMMSN):	vmamshen	['vmamashan']
השו (HSV):	hsov	['hso']
קלב (QLV):	kalev	['kelevh', 'kalev', 'kaalv']
בסג׳רה (VSJRH):	bsajera	['bsejera']
שתעזרני (STZRNY):	shetaazrani	['shetaazreni']
ביפעה (VYFH):	byapa	['byifa']
ואישתצית (VYSTTZYT):	vishhtatsit	['vishhtetsit']
הביצון (HVYTZVN):	habitsun	['habetson']
דאגואו (DGVV):	daaguo	['dagou']
לנדל״ן (LNDL_N):	landlen	['lnadlen']
ולבני־גד (VLVNY_GD):	vlivnei-gad	['vlivnei-gad']
והמאיינת (VHMYYNT):	vhamayynet	['vhmeayeint']
התעשת (HTST):	hitashet	['hitashet']
עבררבית (VRRVYT):	avarvit	['ivrarvit']
ודזידזה (VDZYDZH):	vdzidze	['vdzidze']
לגולוקה (LGVLVQH):	lguluka	['lgoloka']
דברוח (DVRVCH):	divruakh	['divruakh']
הסוד (HSVD):	hsod	['hsod', 'hsuid', 'hasod']
אל־עירו (L_YRV):	el-iro	['el-iro']
עמודיו (MVDYV):	amudav	['amudav']
רצו (RTZV):	rtso	['ratsu', 'rtso', 'rtsve', 'ratsv']
יסרק (YSRQ):	yisrok	['yisrok']
להמית (LHMYT):	lhemit	['lhamit']
ואת־ישראל (VT_YSRL):	vet-yisrael	['vet-yisrael']
והשיך (VHSYCH):	vhishikh	['vhishikh']
דייזיל (DYYZYL):	dyeyzil	['dyezil']
ורדפין (VRDFYN):	vradfin	['vradfin']
ויגנה (VYGNH):	vyigene	['viganh']
לטפלנא (LTFLN):	ltaflana	['ltaflana']
את־שבתתיה (T_SVTTYH):	et-shabtoteyha	['et-shabtoteyha']
לקלר (LQLR):	lkaler	['lekler']
יקצצו (YQTZTZV):	ykatstsu	['yiktstsu']
שהמטען (SHMTN):	shehamatan	['shehamaten']
טובעין (TVVYN):	tovin	['tovin']
ששוכרים (SSVCHRYM):	sheshochrim	['shesoochrim']
הלזה (HLZH):	helza	['halaze', 'hlaz']
ואפדת (VFDT):	vafdat	['vapadth']
ולגבות (VLGVVT):	vlagavot	['vligvout', 'vlgabot', 'vligbot']
מפיגין (MFYGYN):	mfigin	['mfigin']
אל־תחמלו (L_TCHMLV):	al-takhmolu	['al-takhmlu']
לברר (LVRR):	lvarer	['livrr', 'lvarr', 'lvarer', 'livror']
מטרתהון (MTRTHVN):	mitarthon	['matarthon', 'matrathon']
אחוי (CHVY):	akvi	['akve', 'akhoi', 'ikhui', 'akhavi', 'akhavei', 'akvi', 'akui']
על־חטאות (L_CHTVT):	al-khataout	['al-khataout']
בתמתו (VTMTV):	btimato	['btumato']
בדם־נפש (VDM_NFS):	bdam-nefesh	['bdam-nafesh']
עד־השמים (D_HSMYM):	ad-hashamayim	['ad-hashamayim']
לאוזן (LVZN):	lauzan	['lozen', 'laozen', 'luzen']
שיסיט (SYSYT):	sheyasit	['sheyasit']
תקליטן (TQLYTN):	takliten	['taklitan']
כווץ (CHVVTZ):	kavuts	['kavuts']
אקטאבער (QTVR):	aktaer	['aktavar']
דמוקי (DMVQY):	dmoki	['dmuki']
קאמפספה (QMFSFH):	kampasph	['kmpaspe']
וזיזין (VZYZYN):	vzizin	['vzizin']
שנתגלח (SNTGLCH):	shenitgaleakh	['shenitgaleakh']
צריחי (TZRYCHY):	tsrikhei	['tsrikhi']
ענבא (NV):	inba	['inva']
המשובחת (HMSVVCHT):	hamshubakhat	['hamshubakhat']
ויתפרקון (VYTFRQVN):	vyitparkun	['vyitparkun']
סטיאגרהה (STYGRHH):	stiagra	['satyagraha']
זירה (ZYRH):	zira	['zira']
תקותינו (TQVTYNV):	tikvatenu	['tikvatenu']
נתקנאו (NTQNV):	nitkanu	['nitkanu']
יתמנעון (YTMNVN):	yitmanun	['yitmanun']
כביצת (CHVYTZT):	kvitsat	['kbeytsat']
סרנדות (SRNDVT):	serendot	['serenadot']
ויחות (VYCHVT):	vyekhot	['vyekhot']
שאהבנו (SHVNV):	sheahavnu	['sheahavnu']
ולההיא (VLHHY):	ulhai	['vlhai']
בעלטת (VLTT):	baletet	['baaletet']
דמאינטוס (DMYNTVS):	dmeintos	['demaynetus']
ונעל (VNL):	vnaal	['vnol', 'vnaal', 'vanal', 'vanaal']
אתנחתא (TNCHT):	itnakhata	['etnakhta', 'etnakta']
ערני (RNY):	areni	['erani', 'erni']
ויפתר־לנו (VYFTR_LNV):	vayiftar-lanu	['vayiftar-lanu']
למישר (LMYSR):	lmeisher	['lmeishar', 'lmyasher', 'lmishor']
תבואהו (TVVHV):	tvuoehu	['tvoehu', 'tvuoehu']
דתחסר (DTCHSR):	dtikhsar	['dtekhsar']
ביסודיות (VYSVDYVT):	byisodiot	['bisodiut']
בלעך (VLCH):	blaacha	['bloecha', 'blekh']
ומותחין (VMVTCHYN):	vmotkhin	['vmotkhin']
פוגר (FVGR):	poger	['puger']
מסכתו (MSCHTV):	masekto	['misukato']
חפשה (CHFSH):	khafshh	['khaps', 'khupashh', 'khufs', 'khups', 'khips', 'khufshh', 'khiphsh', 'khupas', 'khufsh']
שהנחתום (SHNCHTVM):	shehanekhatom	['shehanakhtom']
בשלחנות (VSLCHNVT):	bshalkhanot	['bshulkhanot']
פוטה (FVTH):	potah	['fute', 'puta', 'pot', 'pote']
מהאברים (MHVRYM):	mehaavarim	['mehaevarim']
ל׳אין (L_YN):	layn	['layin']
שלמל׳ה (SLML_H):	salmola	['shlemale']
ב״דוד (V_DVD):	bdavid	['bdavid']
אפריר (FRYR):	afrir	['afrira', 'afryr']
סטל (STL):	stel	['stli', 'satel', 'stla']
אמשול (MSVL):	amshol	['emshol']
מרגע (MRG):	mraga	['mrga', 'merega', 'mrgoa', 'mrega']
המחוגה (HMCHVGH):	hmkhuga	['hmkugh']
והגיתי (VHGYTY):	vhigeti	['vhagiti']
לחבריא (LCHVRY):	lkhavraya	['lkhavraya']
מהימא (MHYM):	mehayma	['mahyma']
יענו־בך (YNV_VCH):	yaanu-vakh	['yaanu-vakh']
קאלאו (QLV):	kalo	['kalao']
שתבקע (STVQ):	shetibaka	['shetibaka']
זכת (ZCHT):	zakhat	['zakat']
מעשרה (MSRH):	maasra	['meashara', 'masara', 'measara', 'measra']
דיסטי (DYSTY):	dyisti	['dyistei']
התחריתי (HTCHRYTY):	hatachriti	['htkreti']
בן־ברית (VN_VRYT):	ben-brit	['ben-brit']
שמטבע (SMTV):	shematbea	['smiteva', 'shemutba']
דאמען (DMN):	dhiman	['damen']
לקריעה (LQRYH):	likria	['lakaria']
דאגור (DGVR):	daagor	['dagor']
יונא (YVN):	yona	['yona', 'yuna']
אבאשתון (VSTVN):	aveshtun	['aveshtun']
איש־את־אחיו (YS_T_CHYV):	ish-et-ekhav	['ish-et-akhiv']
רסמיה (RSMYH):	rasmeyh	['rasmiye']
מרקמי (MRQMY):	mrakmei	['mrakamei']
טלרוזה (TLRVZH):	teleroze	['talruze']
רולטה (RVLTH):	roleta	['roleth', 'ruleth']
הנביאה (HNVYH):	hanvia	['hanvia', 'hnvia']
ינעץ (YNTZ):	ynaets	['yinots']
סמרט (SMRT):	semert	['smart']
ביצ׳ (VYTSH):	byche	['bechh']
ובטילת (VVTYLT):	uvtilat	['uvteylat']
חתנות (CHTNVT):	khatanot	['khatnut', 'khatunot']
בהגיון (VHGYVN):	bhagyon	['bhigayon']
יעטרנו (YTRNV):	yaatrenu	['yaatrenu']
מתכסים (MTCHSYM):	mitkasim	['mitkasim']
בצדיקייא (VTZDYQYY):	btsadikayaya	['btsadikayaya']
תרפאנו (TRFNV):	tirpenu	['tirpaenu']
בדר (VDR):	bdar	['bder', 'bader', 'bdr', 'badr', 'bdor', 'bider', 'badar', 'bdar']
ומיעט (VMYT):	vmiat	['vmiet']
אתיתי (TYTY):	atiti	['ateti', 'atiti']
וסוגרין (VSVGRYN):	vsogrin	['vsogrin']
על־שמאולך (L_SMVLCH):	al-smoulakh	['al-smoulekh']
ובנירים (VVNYRYM):	uvanirim	['uvanirim']
דבאמצעיתא (DVMTZYT):	divemtsaita	['divemtsaita']
מהאחיות (MHCHYVT):	mehaakhiot	['mehaakhayot']
מיניא (MYNY):	minaya	['minya']
פותייה (FVTYYH):	potyay	['putyeh']
קורסים (QVRSYM):	korsim	['korsim']
נברכך (NVRCHCH):	nivrkekh	['nvarkekh']
בחסכה (VCHSCHH):	bkheske	['bkhasakh']
דנטע (DNT):	dnata	['dnata']
לקולתו (LQVLTV):	lkolato	['lkulato']
לחשב (LCHSV):	lkhashev	['lkshev', 'lksev', 'lkhasav', 'lakshov', 'lkhashev', 'lkheshev', 'lkhashaev', 'lakhsov', 'lakashov', 'lekhasv', 'lkhasaev', 'lkshov', 'lkhasv', 'lkhasev', 'lksov']
וטורין (VTVRYN):	vturin	['vturin']
המתטנפין (HMTTNFYN):	hamittanfin	['hamittanfin']
הרעותי (HRVTY):	haraoti	['hareuti', 'hreoti', 'hareoti']
מתנענעת (MTNNT):	mitnanaat	['mitnanaat']
כשמפרידה (CHSMFRYDH):	kshemafrida	['kshemafridah']
אל־תחמד (L_TCHMD):	al-takhmod	['al-takhmod']
וחשוכן (VCHSVCHN):	vkhashukan	['vakhashokan']
שכירים (SCHYRYM):	skirim	['skirim']
והנזירות (VHNZYRVT):	vhanzirut	['vhanhzirut']
אוושת (VVST):	avevst	['ivust', 'iuusat']
ולפת (VLFT):	vlafat	['vlefet', 'vleft']
אויצ (VYTZ):	oytse	['uytsa']
פלטירא (FLTYR):	paltira	['platira']
וטלואים (VTLVYM):	utluim	['utluim']
קולתך (QVLTCH):	koltakh	['kultekh']
מתאנתי (MTNTY):	mitanti	['mitenati']
שאליך (SLYCH):	shalikh	['sheelayikh']
סימפטים (SYMFTYM):	simpatim	['sympatim']
לפטרן (LFTRN):	lpatran	['lpatran']
חלמין (CHLMYN):	khalamin	['khelmin']
השתלמו (HSTLMV):	hishhtalmu	['hishhtalmu']
פירמידות (FYRMYDVT):	piramidut	['piramidot']
ועמודיהון (VMVDYHVN):	vamudehon	['vamudehon']
דרדרתאם (DRDRTM):	dardaratam	['darderetam']
כסין (CHSYN):	kasyan	['kasyan']
דאולפנא (DVLFN):	dolfna	['dulpana', 'dulpna']
ורבלית (VRVLYT):	vrabalit	['verbalyt']
שהקיש (SHQYS):	shehikaish	['shehikaish']
וקריש (VQRYS):	vkarish	['vkarish']
ממראשותיו (MMRSVTYV):	mimarashotav	['mimraashotav']
לקדושיו (LQDVSYV):	likdushav	['lkidushav']
מגנתיה (MGNTYH):	magenteyha	['miginteyh']
ונקבה (VNQVH):	vnikbe	['vnkeva', 'vnkevh', 'vnikava', 'vnkavah']
ועלות (VLVT):	valot	['volot', 'vaalut', 'vaalot']
משיקרה (MSYQRH):	misheyikra	['misheyikre']
בפאבא (VFV):	bpava	['bpava']
ומלמען (VMLMN):	vmalman	['vmlmaan']
מעכתי (MCHTY):	makati	['maakati']
אלנאצר (LNTZR):	lnetsar	['alnatsir', 'lnatser']
ואת־הדוב (VT_HDVV):	vet-hadov	['vet-hadov']
אודעיה (VDYH):	odeh	['odeyh']
כטמונים (CHTMVNYM):	kitmonim	['kitmunim']
שיסיע (SYSY):	sheyasia	['sheysayea', 'sheysaya']
שאריכת (SRYCHT):	sherikhat	['shearikhat']
ראשם (RSM):	rosham	['rosm', 'rosham', 'rsham']
ייקרא (YYQR):	yikara	['yikare']
מבררות (MVRRVT):	mvarrot	['mvorarot']
ידם (YDM):	ydam	['yidom', 'yadam', 'yidm', 'ydom', 'yidam']
אפרתי (FRTY):	efrati	['efrati']
מאולד (MVLD):	meolad	['mold']
קבן (QVN):	keven	['kaben']
קסקין (QSQYN):	kaskin	['kaskin']
דפועלים (DFVLYM):	dhfualim	['dpoalim']
נכנה (NCHNH):	nikne	['nkane']
ואגרות (VGRVT):	vaagarot	['vigrot']
שדולה (SDVLH):	shedola	['shedole']
הנסר (HNSR):	hansar	['haneser']
סתימאה (STYMH):	stimaa	['stimaa']
באדימו (VDYMV):	badimu	['baadimu']
יומיהון (YVMYHVN):	yomeyhon	['yomeihon']
נוביל (NVVYL):	novil	['novil']
בנות־שילו (VNVT_SYLV):	bnot-shilo	['bnot-shilo']
כשמפרישו (CHSMFRYSV):	kshemafrishu	['kshemafrisho']
אורכיה (VRCHYH):	orkeh	['urkeh']
שנאיכון (SNYCHVN):	sneekhon	['saneikhon']
שאיתן (SYTN):	seitan	['seitan']
כי־יכרית (CHY_YCHRYT):	ki-yakrit	['ki-yachrit']
ולשבע (VLSV):	vlshaba	['vlishava', 'vlashba', 'vlishhva', 'vlisboa']
לקבלך (LQVLCH):	lkablakh	['lkablakh', 'lakovlakh', 'lkavlakh', 'lkivlakh']
אוכלון (VCHLVN):	okhlun	['okhlon']
משמיעה (MSMYH):	mashmia	['mishmia']
סטשקה (STSQH):	steshke	['stashka']
מאחיה (MCHYH):	makhaya	['meakeha', 'meakiyh']
איריין (YRYYN):	iryayn	['iriyan']
בקפקרס (VQFQRS):	bkafkeres	['bkpekers']
לדמשק (LDMSQ):	ldamesek	['ldamesek', 'ldamasek']
לשמור (LSMVR):	lashmor	['lismor', 'lishmor', 'lshamor', 'lismur', 'lishhmur']
שלישיויקח (SLYSYVYQCH):	slysyvayikeakh	['slysyvayikaakh']
רכנו (RCHNV):	rukno	['rakhanu']
תעבריננא (TVRYNN):	taavrinna	['tavrinana', 'taavrinana']
מחולתא (MCHVLT):	mekhulata	['mekhulata']
חדודי (CHDVDY):	khidudi	['khadude', 'khadudi']
ולמחזי (VLMCHZY):	vlmakhazi	['vlmekhezei', 'vlmekzei']
געו (GV):	gaav	['gao', 'gu', 'gau']
סחורתו (SCHVRTV):	skhorato	['skhorato']
ברושורה (VRVSVRH):	brosora	['brosur']
נהליה (NHLYH):	naholiyh	['nihaleh']
מכספא (MCHSF):	mikispa	['mikaspa']
קניניהון (QNYNYHVN):	kinyaneihon	['kinyaneihon']
בבטחת (VVTCHT):	bvatkhat	['bbitkhat']
מתיבה (MTYVH):	mtiva	['miteba']
גרויסע (GRVYS):	groysa	['groyse']
שידירוהו (SYDYRVHV):	sheyadiruhu	['sheyadiruhu']
שלוה (SLVH):	salve	['salva', 'slva', 'shelava', 'shelavh', 'shleva', 'sluh', 'sheleva', 'slev', 'slava', 'selve', 'selavh', 'sheliuh', 'slevh', 'shelove', 'shalva', 'slav', 'salv', 'shalv']
ופניא (VFNY):	ufanaya	['ufanya']
שהענן (SHNN):	sheaanan	['sheheanan']
י֣ם֭ט֑ (Y_M_T_):	y֣em֭ta֑t	['y֣em֭t֑h']
אקו (QV):	aku	['ako', 'ekov', 'eko', 'akav', 'ekv', 'akv']
ותאטלון (VTTLVN):	vtaatlun	['vtatlun']
שמטפשין (SMTFSYN):	shemtafshin	['shemitaapshin']
בספרטה (VSFRTH):	bsparta	['bsparta']
ובשרים (VVSRYM):	vvsarim	['vvshirim']
דעשרין (DSRYN):	dasrin	['dhesrin', 'dasrin', 'disrin', 'desrin']
דחסף (DCHSF):	dkhasef	['dakhasaf']
לשתא (LST):	lshata	['lshata', 'lshita']
חכמים (CHCHMYM):	khakamim	['khakhmim', 'khakamim']
ממעיטין (MMYTYN):	mimaitin	['mamitin']
ואיתבטש (VYTVTS):	vitbatash	['vitbataash']
ושימצא (VSYMTZ):	vshimtsa	['vsheyimtsa']
אתערב (TRV):	itarev	['itarav', 'etarev', 'itarev']
יתפרקו (YTFRQV):	yitparku	['yitparku']
בבצת (VVTZT):	bvatsat	['bbitst']
רפס (RFS):	rafas	['rpas', 'rafas']
גרלן (GRLN):	gerlen	['gerlen']
וזמנין (VZMNYN):	vzimnin	['vzmanin', 'vzimnin']
כשצריכין (CHSTZRYCHYN):	kshetsrikin	['kshetsrikin', 'ksetsrikin']
ומחלישין (VMCHLYSYN):	vmakhlishin	['vmakhalishin']
יעצר (YTZR):	yaatsor	['yaatsar', 'yetsr', 'yatsor', 'yeatser', 'yatser', 'yaatsor']
ציפור (TZYFVR):	tsipur	['tsipor']
משגב (MSGV):	mishegav	['msogv', 'misgav', 'msagev']
כל־במותם (CHL_VMVTM):	kal-bamotam	['kal-bamotam']
אכזרייה (CHZRYYH):	akhzariyh	['akhzrii']
איזולדה (YZVLDH):	izoldh	['izuhlde']
ורבניהם (VRVNYHM):	vrabaneyhem	['vraabaneyhem']
את־חלקיה (T_CHLQYH):	et-khilkiyh	['et-khilkiyh']
ואשתכחת (VSTCHCHT):	vishhtakkhat	['vishhtakkhat', 'vishhtkakhat']
יטריח (YTRYCH):	yatriakh	['yatriakh']
בטועננא (VTVNN):	btoanana	['btoanana']
אתטמרנא (TTMRN):	ittamarna	['ittamarna']
יובו (YVVV):	yuvo	['yovo', 'yuvo']
וואנד (VVND):	vavand	['vvand']
ותלייה (VTLYYH):	vtliyh	['vtalyeh']
ועדיה (VDYH):	vadya	['vaadaya']
דמכסינן (DMCHSYNN):	dimkasinan	['dimkasinan']
אוקיינוס (VQYYNVS):	okyeinos	['okyainos', 'okyainus', 'okyinos']
במחיר (VMCHYR):	bmakhir	['bamkhir', 'bimkyr', 'bimkhir', 'bimkir']
ולשכללא (VLSCHLL):	vlshakhlala	['vlshakhlla']
תשנא (TSN):	tshana	['tisna', 'tishne']
והמבשמות (VHMVSMVT):	vhamvushmot	['vhmvusamut']
ופאייה (VFYYH):	vpayay	['vpaeyai']
איפוליט (YFVLYT):	ipolit	['ipolyt', 'ipolit']
הכרחי (HCHRCHY):	hakarkhi	['hekhreaki']
יקטעו (YQTV):	yiktu	['yikaatu']
בונבאל (VVNVL):	bonbal	['boneval']
ומתישבין (VMTYSVYN):	vmityashvin	['vmityashvin']
דמההוא (DMHHV):	dmehava	['dmehau', 'dimhau']
כנופלת (CHNVFLT):	knufelet	['knofelet']
למסבליה (LMSVLYH):	lmisbleyh	['lmisbleyh']
וגניתםבאהלו (VGNYTMVHLV):	vgnitmabahlu	['vginitembaolo']
וצרתיכם (VTZRTYCHM):	vtsaroteychem	['vtsaroteychem']
לאריסטוקרטיה (LRYSTVQRTYH):	laristokratya	['laristokratya']
שמרחמים (SMRCHMYM):	shemrakhamim	['smrakhmim']
ושדתם (VSDTM):	vshadatem	['vsadtem']
התולדה (HTVLDH):	hatolada	['hatolada']
ולהשאיר (VLHSYR):	ulhasir	['ulhashir']
ותנגב (VTNGV):	vtingev	['vtinagev']
ולשומשמים (VLSVMSMYM):	vlshishamim	['vlashumshmim']
ראדיו (RDYV):	radav	['radyo']
טופק (TVFQ):	tofek	['tufak']
בזיווא (VZYVV):	bziuua	['bhzivaua']
עצבן (TZVN):	atsban	['itsvn']
ומחרישים (VMCHRYSYM):	umakharishim	['vmakharisim', 'vmakharishim']
פרושין (FRVSYN):	prushin	['parusoyn', 'prushin']
שנפרשים (SNFRSYM):	shenifrashim	['shenifrashim']
שב״ל (SV_L):	sbal	['sovl']
בהתירא (VHTYR):	bhitira	['bhetera']
פודהו (FVDHV):	podehu	['podehu']
להסיט (LHSYT):	lhasit	['lhasit']
חמרתים (CHMRTYM):	khamartem	['khamoratayim']
תל־חי (TL_CHY):	tel-khay	['tel-khay']
דהגבלה (DHGVLH):	dhagavla	['dhagbala']
כי־בתוכנו (CHY_VTVCHNV):	ki-btokeno	['ki-vtokenu']
צידה (TZYDH):	tsida	['tsydah', 'tsida', 'tsid', 'tseyd', 'tsayid', 'tseyda', 'tseydah', 'tsyd']
הנשכחות (HNSCHCHVT):	hanishkakhot	['hanishkakot']
העסוקים (HSVQYM):	haisukim	['haasukim']
לעולמם (LVLMM):	lulamam	['lolamam']
מם־מם (MM_MM):	mem-mem	['mem-mem']
לוזיא (LVZY):	luzya	['luzaya']
לכות (LCHVT):	lkhut	['lkhut', 'lkut', 'lakout']
אשתלהית (STLHYT):	ishhtalhit	['ishhtalhit']
בופה (VVFH):	bupe	['bhufa', 'bufa', 'bupe', 'bufe']
חשכה (CHSCHH):	khashka	['khoshekha', 'khashka', 'khashek', 'khashekha', 'khaska', 'kshek', 'ksek', 'kheshka']
ויגחאד (VYGCHD):	vyagikad	['vyagikadu']
פשפשתא (FSFST):	pishpashta	['pishpashhta']
מה־יוסיף (MH_YVSYF):	mah-yosif	['mah-yosif']
לבהיה (LVHYH):	lvahayh	['lbaiya']
אידיק (YDYQ):	idek	['idik']
בחרבם (VCHRVM):	bkharbam	['bkharbam']
ככוכבא (CHCHVCHV):	kkhokva	['kkhokhva']
סטפקה (STFQH):	stepka	['stefka']
והשכירו (VHSCHYRV):	vhishkiru	['vhiskiro']
מתיריו (MTYRYV):	matirav	['matirav']
צוחו (TZVCHV):	tsuko	['tsavkhu']
ומשיתחיל (VMSYTCHYL):	vmishetkhayil	['vmisheyatkhil']
קרבשיח (QRVSYCH):	karbshiakh	['kravsiakh']
אלקת (LQT):	lokt	['alkat']
יהושע־בן־נון (YHVS_VN_NVN):	yhosha-ben-non	['yhoshua-bin-nun']
הדווח (HDVVCH):	hadiuuakh	['hdavavkh']
בוונד (VVVND):	vuond	['bvevnd']
ותפסן (VTFSN):	vtpasen	['vtafsan']
הקרב (HQRV):	hkarov	['hkrv', 'hkrav', 'hkarv', 'hakarv', 'hkriv', 'hakrev', 'hikriv', 'hikaarev', 'hakarav', 'hkrov', 'hkarev', 'hakarev', 'hkrev', 'hakaarv', 'hakaarov', 'hakaarev', 'hakaerev', 'hakriv', 'hkerv', 'hkerev', 'hkaerv']
הקלות (HQLVT):	hakalot	['hakalot', 'hakaolot', 'hakalut', 'hakaalut', 'hakiluta', 'hakolout', 'hakaalot', 'hakaulot']
עם־אכיש (M_CHYS):	im-akish	['im-akish']
יאומנז (YVMNZ):	yumnaz	['yeomanz']
הצ׳ולה (HTSHVLH):	hchola	['hchola']
חלחלה (CHLCHLH):	khalakhalakhala	['khilkhelh', 'khalkhala', 'khilkhala', 'khilkhal', 'khilkel', 'khalkhal']
והפיכו (VHFYCHV):	vhifiku	['vhafiku']
מטקופ (MTQVF):	metkop	['matkup']
מתייך (MTYYCH):	mtayecha	['metayykh', 'mateyakh']
ריוש (RYVS):	ryus	['riyush']
נימפומניההעיקר (NYMFVMNYHHYQR):	nimfomaniyahaker	['nimfomaniyahhaikr']
שנמדד (SNMDD):	shenimdad	['shenimdad']
ולבשי־נא (VLVSY_N):	vlivshe-na	['vlivshi-na']
מעאכ (MCH):	maak	['maaak', 'maak']
לחמת (LCHMT):	lkhamat	['lakhmat', 'lakmt', 'lakhemet', 'lkhemet', 'lakhmet']
אהמה (HMH):	ahamh	['ehma', 'ehme']
ילבשון (YLVSVN):	yilbshun	['yilbshun']
נחשתים (NCHSTYM):	nekashhtim	['nkhushhtayim']
והתנו (VHTNV):	vhitnu	['vhitnu']
